,time,der_time,in_heater_on,in_heater_voltage,in_heater_current,in_room_temperature,power_in,G_box,T,power_out_box,total_power_box,der_T,T_heater,power_transfer_heat,total_power_heater,der_T_heater
292,877.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.97128110370315,10.049513928751576,-1.340975703158005,-0.019660010374146566,44.97012757082781,8.708538225593571,-8.708538225593571,-0.03577018368225043
293,880.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.91233223696994,10.006143604001549,-1.3395010250584392,-0.01963839015636953,44.86307555203313,8.66664257894311,-8.66664257894311,-0.03559809797310473
294,883.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.853455621432495,9.96282643647061,-1.337694874333927,-0.019611910226943845,44.75653740329809,8.625131562136684,-8.625131562136684,-0.03542759212498903
295,886.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.79466524561801,9.919572717908219,-1.3355837659417844,-0.019580959320978343,44.65050848621613,8.583988951966434,-8.583988951966434,-0.03525859950133241
296,889.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.73597397575065,9.8763919143542,-1.3331922437675292,-0.019545897275748788,44.544984355143434,8.54319967058667,-8.54319967058667,-0.03509105817012102
297,892.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.67739363919533,9.833292727530663,-1.3305430265255929,-0.019507057169744497,44.439960743612566,8.50274970100507,-8.50274970100507,-0.03492491055677956
298,895.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.6189351017249,9.790283151689644,-1.327657142863215,-0.019464747303423045,44.33543355174853,8.46262600882643,-8.46262600882643,-0.034760103122734885
299,898.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.56060833906773,9.747370526252618,-1.3245540564662956,-0.01941925303338397,44.23139883461293,8.422816469786323,-8.422816469786323,-0.03459658606776172
300,901.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.50242250315896,9.704561584553435,-1.3212517819072556,-0.019370838470811273,44.127852791407705,8.38330980264618,-8.38330980264618,-0.0344343130543502
301,904.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.44438598348743,9.661862498972921,-1.317766991919843,-0.01931974805422661,44.0247917554747,8.344095507053078,-8.344095507053078,-0.03427324095246599
302,907.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.386506463901064,9.619278922732226,-1.314115116735369,-0.019266208005855292,43.92221218503237,8.305163805996857,-8.305163805996857,-0.034113329603193764
303,910.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.32879097520701,9.576816028592187,-1.3103104360678905,-0.019210427680218675,43.82011065459489,8.266505592524297,-8.266505592524297,-0.0339545415998665
304,913.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.271245943877545,9.534478544687625,-1.3063661642921875,-0.019152600812926333,43.71848384702334,8.228112380395437,-8.228112380395437,-0.033796842085387156
305,916.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.21387723715,9.492270787708627,-1.3022945293183934,-0.019092906677054954,43.617328546162135,8.189976258390233,-8.189976258390233,-0.03364019856454392
306,919.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.156690204787594,9.450196693625141,-1.2981068456296363,-0.01903151115395135,43.51664163001739,8.152089847995505,-8.152089847995505,-0.03348458073021006
307,922.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.09968971774821,9.40825984613669,-1.293813581914744,-0.018968567724793797,43.41642006443718,8.114446264221947,-8.114446264221947,-0.03332996030240036
308,925.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,34.04288020399,9.366463503015531,-1.2894244236958468,-0.018904218388773705,43.31666089725656,8.077039079319684,-8.077039079319684,-0.03317631087923341
309,928.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.98626568162564,9.324810620499186,-1.2849483313214094,-0.01883859451333,43.21736125287287,8.039862289177776,-8.039862289177776,-0.03302360779891801
310,931.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.929849789621485,9.28330387587666,-1.2803935936674833,-0.01877181762146177,43.11851832721968,8.002910282209177,-8.002910282209177,-0.03287182801194871
311,934.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.873635816223306,9.241945688402042,-1.2757678778649248,-0.018704000120777765,43.02012938310971,7.9661778105371175,-7.9661778105371175,-0.032720949962754285
312,937.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.81762672527685,9.20073823865928,-1.2710782753465981,-0.018635245978593236,42.922191745919534,7.929659963312682,-7.929659963312682,-0.03257095348010012
313,940.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.76182518059899,9.15968348649271,-1.2663313444868614,-0.018565651347066354,42.82470279959074,7.893352142005849,-7.893352142005849,-0.03242181967559652
314,943.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.70623356854376,9.118783187609534,-1.261533150085575,-0.018495305142072253,42.727659982924195,7.857250037523959,-7.857250037523959,-0.03227353084971323
315,946.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.650854018896844,9.078038908952454,-1.256689299930029,-0.018424289579236492,42.6310607861457,7.821349609022425,-7.821349609022425,-0.03212607040474472
316,949.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.59568842422226,9.037452042933584,-1.251804978651208,-0.018352680670300898,42.53490274772295,7.785647064282376,-7.785647064282376,-0.03197942276421165
317,952.5711250759007,1.0,False,12.0,10.45,21.312,0.0,0.73572788,33.54073845777571,8.997023820613792,-1.2468849790744212,-0.018280548682754343,42.43918345141524,7.750138841539371,-7.750138841539371,-0.03183357329822266
